year,date,time,week,roadteam,roadfirst,roadsecond,roadfirsthalf,roadthird,roadforth,roadot,roadsecondhalf,roadtotal,awaylastfly,roadlast,roadnext,awaynextfly,hometeam,homefirst,homesecond,homefirsthalf,homethird,homeforth,homeot,homesecondhalf,hometotal,homenextfly,homenext,homelast,homelastfly,firstpoint,secondpoint,totalpoint,firstvalue,secondvalue,totalvalue,fgside,fglinetotal
1990,2-Nov,,Fri,Cleveland,23,23,46,33,22,0,55,101,,,0,NO,Boston,33,23,56,38,31,0,69,125,YES,0,,,102,124,226,95.13,113.83,208.95,-6,222
1990,2-Nov,,Fri,Brooklyn,26,19,45,11,25,0,36,81,,,0,NO,Indiana,31,21,52,20,28,0,48,100,YES,0,,,97,84,181,90.13,73.83,163.95,-13,209
1990,2-Nov,,Fri,New York,33,29,62,33,28,11,61,123,,,0,YES,New Orleans,19,35,54,30,39,7,69,123,YES,0,,,116,130,246,109.13,119.83,228.95,3,211
1990,2-Nov,,Fri,Philadelphia,39,28,67,27,30,0,57,124,,,0,YES,Chicago,28,20,48,33,35,0,68,116,YES,0,,,115,125,240,108.13,114.83,222.95,-5.5,211
1990,2-Nov,,Fri,Milwaukee,25,26,51,26,27,0,53,104,,,0,YES,Detroit,28,29,57,31,27,0,58,115,NO,0,,,108,111,219,101.13,100.83,201.95,-9.5,198
1990,2-Nov,,Fri,Orlando,23,34,57,28,26,0,54,111,,,0,YES,Atlanta,37,23,60,30,25,0,55,115,NO,0,,,117,109,226,110.13,98.83,208.95,-10,232.5
1990,2-Nov,,Fri,Washington,24,22,46,26,23,0,49,95,,,0,YES,Miami,29,25,54,31,34,0,65,119,NO,3,,,100,114,214,93.13,103.83,196.95,-3.5,211
1990,2-Nov,,Fri,Golden State,43,44,87,38,37,0,75,162,,,1,NO,Denver,41,42,83,39,36,0,75,158,YES,0,,,170,150,320,163.13,139.83,302.95,2,310
1990,2-Nov,,Fri,Dallas,27,16,43,23,19,0,42,85,,,0,YES,Minnesota,23,17,40,25,33,0,58,98,YES,0,,,83,100,183,76.13,89.83,165.95,3,185.5
1990,2-Nov,,Fri,Houston,27,32,59,16,14,0,30,89,,,0,NO,Portland,27,20,47,29,14,0,43,90,YES,0,,,106,73,179,99.13,62.83,161.95,-10,218
1990,2-Nov,,Fri,Phoenix,28,30,58,27,34,0,61,119,,,0,YES,Utah,29,28,57,15,24,0,39,96,YES,0,,,115,100,215,108.13,89.83,197.95,2.5,215.5
1990,2-Nov,,Fri,Sacramento,21,25,46,15,19,0,34,80,,,0,YES,LAC,18,21,39,27,24,0,51,90,NO,1,,,85,85,170,78.13,74.83,152.95,-7.5,206
1990,3-Nov,,Sat,Boston,21,29,50,29,27,0,56,106,YES,0,2,NO,New York,35,25,60,24,19,0,43,103,NO,2,0,YES,110,99,209,103.13,88.83,191.95,1,224
1990,3-Nov,,Sat,Brooklyn,29,27,56,22,24,8,46,102,NO,0,2,NO,Philadelphia,28,25,53,19,30,10,49,102,NO,3,0,YES,109,95,204,102.13,84.83,186.95,-15,205
1990,3-Nov,,Sat,Chicago,28,32,60,21,21,0,42,102,YES,0,2,YES,Washington,24,27,51,28,24,0,52,103,YES,4,0,YES,111,94,205,104.13,83.83,187.95,8.5,209.5
1990,3-Nov,,Sat,Cleveland,26,24,50,16,31,0,47,97,NO,0,2,NO,Detroit,30,24,54,24,28,0,52,106,YES,2,0,NO,104,99,203,97.13,88.83,185.95,-9,201.5
1990,3-Nov,,Sat,Indiana,23,36,59,40,21,0,61,120,YES,0,2,YES,Atlanta,33,27,60,24,37,0,61,121,YES,2,0,NO,119,122,241,112.13,111.83,223.95,-4.5,221
1990,3-Nov,,Sat,Minnesota,18,19,37,29,27,0,56,93,YES,0,2,NO,Milwaukee,27,30,57,19,35,0,54,111,YES,2,0,YES,94,110,204,87.13,99.83,186.95,-10,190
1990,3-Nov,,Sat,New Orleans,36,23,59,23,22,0,45,104,YES,0,2,YES,Orlando,29,24,53,20,24,0,44,97,NO,2,0,YES,112,89,201,105.13,78.83,183.95,-4,227.5
1990,3-Nov,,Sat,Denver,28,20,48,24,38,0,62,110,YES,0,2,NO,Dallas,37,34,71,28,41,0,69,140,YES,2,0,YES,119,131,250,112.13,120.83,232.95,-14,283
1990,3-Nov,,Sat,Houston,27,28,55,24,27,0,51,106,NO,0,2,YES,Oklahoma City,26,38,64,30,24,0,54,118,NO,2,,,119,105,224,112.13,94.83,206.95,-7,205
1990,3-Nov,,Sat,Portland,22,27,49,16,20,10,36,85,YES,0,2,NO,Sacramento,17,18,35,22,28,8,50,85,NO,2,0,YES,84,86,170,77.13,75.83,152.95,7,202.5
1990,3-Nov,,Sat,Utah,31,22,53,29,20,0,49,102,YES,0,4,YES,Phoenix,29,23,52,30,19,0,49,101,NO,3,0,YES,105,98,203,98.13,87.83,185.95,-3.5,214
1990,3-Nov,,Sat,LAL,38,22,60,13,26,0,39,99,,,2,YES,San Antonio,24,30,54,27,29,0,56,110,NO,3,,,114,95,209,107.13,84.83,191.95,-4,212
1990,4-Nov,,Sun,Golden State,34,29,63,23,21,0,44,107,NO,1,1,YES,LAC,16,31,47,42,20,0,62,109,YES,1,1,NO,110,106,216,103.13,95.83,198.95,0,230
1990,6-Nov,,Tue,Boston,24,27,51,28,31,0,59,110,NO,2,2,YES,Chicago,32,21,53,37,18,0,55,108,YES,0,2,YES,104,114,218,97.13,103.83,200.95,-5.5,219.5
1990,6-Nov,,Tue,Brooklyn,31,31,62,19,24,0,43,105,NO,2,1,YES,New Orleans,28,34,62,25,26,0,51,113,YES,0,2,YES,124,94,218,117.13,83.83,200.95,-6,198.5
1990,6-Nov,,Tue,Dallas,25,15,40,27,29,0,56,96,YES,2,0,NO,New York,27,22,49,23,19,0,42,91,NO,1,2,NO,89,98,187,82.13,87.83,169.95,-4.5,210
1990,6-Nov,,Tue,Cleveland,29,15,44,26,32,0,58,102,NO,2,0,YES,Orlando,20,16,36,28,31,0,59,95,YES,1,2,NO,80,117,197,73.13,106.83,179.95,6,220.5
1990,6-Nov,,Tue,Detroit,22,18,40,27,25,0,52,92,YES,2,0,NO,Oklahoma City,23,18,41,30,29,0,59,100,YES,2,2,NO,81,111,192,74.13,100.83,174.95,-1,206.5
1990,6-Nov,,Tue,Minnesota,34,21,55,24,17,0,41,96,NO,2,0,YES,Indiana,22,23,45,23,30,0,53,98,NO,2,2,YES,100,94,194,93.13,83.83,176.95,-9,195
1990,6-Nov,,Tue,Milwaukee,26,28,54,32,20,0,52,106,YES,2,1,YES,Miami,20,30,50,20,24,0,44,94,YES,1,3,NO,104,96,200,97.13,85.83,182.95,4,213.5
1990,6-Nov,,Tue,Atlanta,27,23,50,25,27,0,52,102,YES,2,2,NO,Sacramento,14,30,44,23,18,0,41,85,YES,2,2,NO,94,93,187,87.13,82.83,169.95,2,207
1990,6-Nov,,Tue,Denver,42,32,74,27,34,0,61,135,NO,2,0,NO,Houston,44,43,87,24,34,0,58,145,NO,1,2,YES,161,119,280,154.13,108.83,262.95,-14,278.5
1990,6-Nov,,Tue,Portland,23,38,61,24,32,8,56,117,NO,2,2,YES,LAL,27,28,55,28,34,6,62,117,NO,2,2,YES,116,118,234,109.13,107.83,216.95,-5.5,212.5
1990,6-Nov,,Tue,LAC,31,24,55,26,28,0,54,109,YES,1,0,YES,Golden State,30,30,60,37,33,0,70,130,YES,0,1,YES,115,124,239,108.13,113.83,221.95,-13,230
1990,7-Nov,,Wed,Dallas,27,25,52,19,33,0,52,104,NO,0,1,YES,Philadelphia,30,19,49,18,34,0,52,101,YES,0,3,NO,101,104,205,94.13,93.83,187.95,-8.5,206.5
1990,7-Nov,,Wed,Chicago,28,27,55,15,26,0,41,96,YES,0,1,NO,Minnesota,14,26,40,29,22,0,51,91,NO,1,0,YES,95,92,187,88.13,81.83,169.95,4,191.5
1990,7-Nov,,Wed,New Orleans,34,11,45,15,29,0,44,89,YES,0,1,NO,Cleveland,27,19,46,30,24,0,54,100,YES,1,0,YES,91,98,189,84.13,87.83,171.95,-11.5,210.5
1990,7-Nov,,Wed,Detroit,32,28,60,23,27,0,50,110,NO,0,1,NO,LAC,23,21,44,23,16,0,39,83,NO,2,0,YES,104,89,193,97.13,78.83,175.95,6.5,193.5
1990,7-Nov,,Wed,Denver,48,42,90,26,37,0,63,153,NO,0,1,YES,San Antonio,36,47,83,42,36,0,78,161,YES,0,3,NO,173,141,314,166.13,130.83,296.95,-17,274
1990,7-Nov,,Wed,Golden State,40,23,63,32,24,0,56,119,YES,0,1,YES,Phoenix,31,26,57,35,34,0,69,126,NO,2,3,NO,120,125,245,113.13,114.83,227.95,-12.5,0
1990,8-Nov,,Thu,Miami,25,21,46,27,30,0,57,103,YES,1,1,YES,Brooklyn,30,23,53,25,36,0,61,114,NO,1,1,YES,99,118,217,92.13,107.83,199.95,-5.5,203.5
1990,8-Nov,,Thu,Washington,33,31,64,22,17,0,39,103,YES,4,0,YES,New York,31,32,63,25,26,0,51,114,YES,1,1,NO,127,90,217,120.13,79.83,199.95,-11,214.5
1990,8-Nov,,Thu,Philadelphia,30,30,60,19,32,0,51,111,YES,0,1,NO,Milwaukee,33,36,69,41,31,0,72,141,YES,0,1,YES,129,123,252,122.13,112.83,234.95,-2.5,208.5
1990,8-Nov,,Thu,Orlando,17,31,48,30,21,0,51,99,YES,1,0,NO,Houston,29,23,52,25,26,0,51,103,YES,1,1,NO,100,102,202,93.13,91.83,184.95,-13,222.5
1990,8-Nov,,Thu,San Antonio,26,20,46,23,25,0,48,94,YES,0,1,YES,Utah,21,29,50,30,23,0,53,103,YES,2,4,YES,96,101,197,89.13,90.83,179.95,-8,205.5
1990,9-Nov,,Fri,Chicago,23,37,60,27,33,0,60,120,NO,1,0,YES,Boston,31,26,57,23,20,0,43,100,YES,0,2,YES,117,103,220,110.13,92.83,202.95,-4.5,224.5
1990,9-Nov,,Fri,Cleveland,27,28,55,22,30,0,52,107,YES,1,0,YES,Indiana,28,32,60,27,35,0,62,122,YES,0,2,NO,115,114,229,108.13,103.83,211.95,-4,205
1990,9-Nov,,Fri,Detroit,18,22,40,28,33,0,61,101,NO,1,3,YES,Portland,26,30,56,33,24,0,57,113,NO,1,2,YES,96,118,214,89.13,107.83,196.95,-3.5,203.5
1990,9-Nov,,Fri,Milwaukee,34,24,58,22,28,0,50,108,YES,0,3,YES,Washington,31,17,48,27,25,0,52,100,YES,2,0,YES,106,102,208,99.13,91.83,190.95,3.5,214
1990,9-Nov,,Fri,Atlanta,30,47,77,20,31,0,51,128,NO,2,0,NO,Golden State,43,26,69,40,34,0,74,143,YES,0,1,YES,146,125,271,139.13,114.83,253.95,-4.5,245.5
1990,9-Nov,,Fri,Orlando,27,24,51,23,25,0,48,99,NO,0,1,NO,Dallas,27,25,52,29,30,0,59,111,YES,3,1,YES,103,107,210,96.13,96.83,192.95,-14.5,211
1990,9-Nov,,Fri,Oklahoma City,36,27,63,32,40,0,72,135,YES,2,0,YES,Denver,29,27,56,30,43,0,73,129,YES,0,1,YES,119,145,264,112.13,134.83,246.95,3,292
1990,9-Nov,,Fri,New Orleans,14,13,27,22,28,0,50,77,NO,1,0,NO,Minnesota,27,18,45,19,42,0,61,106,NO,1,1,NO,72,111,183,65.13,100.83,165.95,-5,188.5
1990,9-Nov,,Fri,Sacramento,19,28,47,19,20,0,39,86,YES,2,0,YES,LAL,23,33,56,22,22,0,44,100,NO,1,2,NO,103,83,186,96.13,72.83,168.95,-17,204
1990,10-Nov,,Sat,Boston,30,20,50,28,27,0,55,105,YES,0,2,NO,Brooklyn,25,28,53,26,12,0,38,91,NO,1,1,NO,103,93,196,96.13,82.83,178.95,7.5,211
1990,10-Nov,,Sat,New York,25,21,46,27,20,0,47,93,YES,1,0,NO,Sacramento,22,18,40,22,26,0,48,88,NO,4,0,YES,86,95,181,79.13,84.83,163.95,4,194
1990,10-Nov,,Sat,Philadelphia,26,19,45,21,22,0,43,88,NO,1,2,NO,Cleveland,24,31,55,21,28,0,49,104,YES,2,0,YES,100,92,192,93.13,81.83,174.95,-4,207.5
1990,10-Nov,,Sat,New Orleans,18,20,38,26,22,0,48,86,NO,0,2,YES,Chicago,22,31,53,24,28,0,52,105,YES,2,0,YES,91,100,191,84.13,89.83,173.95,-13,212.5
1990,10-Nov,,Sat,Indiana,22,34,56,24,25,0,49,105,YES,0,2,YES,Miami,33,25,58,32,30,0,62,120,YES,2,1,YES,114,111,225,107.13,100.83,207.95,3,215
1990,10-Nov,,Sat,Atlanta,31,39,70,24,18,0,42,112,NO,0,2,YES,LAC,30,17,47,24,23,0,47,94,YES,0,2,NO,117,89,206,110.13,78.83,188.95,0,216.5
1990,10-Nov,,Sat,Denver,37,30,67,43,33,0,76,143,YES,0,2,NO,Phoenix,50,57,107,30,36,0,66,173,YES,2,2,NO,174,142,316,167.13,131.83,298.95,-19.5,293.5
1990,10-Nov,,Sat,Golden State,30,25,55,26,36,0,62,117,YES,0,2,YES,Oklahoma City,19,26,45,23,32,0,55,100,NO,2,0,YES,100,117,217,93.13,106.83,199.95,-5.5,237.5
1990,10-Nov,,Sat,Houston,39,22,61,24,25,0,49,110,YES,1,0,YES,San Antonio,27,23,50,31,30,0,61,111,YES,2,1,YES,111,110,221,104.13,99.83,203.95,-8,205.5
1990,11-Nov,,Sun,New York,25,27,52,31,26,0,57,109,NO,0,1,NO,LAL,23,28,51,33,19,0,52,103,NO,1,1,NO,103,109,212,96.13,98.83,194.95,-10.5,213.5
1990,11-Nov,,Sun,Orlando,21,19,40,19,22,0,41,81,NO,1,1,YES,Minnesota,22,23,45,26,37,0,63,108,YES,1,1,NO,85,104,189,78.13,93.83,171.95,-8.5,192.5
1990,11-Nov,,Sun,LAC,24,18,42,34,31,0,65,107,YES,0,2,YES,Portland,39,30,69,36,33,0,69,138,NO,1,1,NO,111,134,245,104.13,123.83,227.95,-15.5,210
1990,11-Nov,,Sun,Utah,25,19,44,27,19,0,46,90,YES,2,1,YES,Houston,25,30,55,19,36,0,55,110,NO,1,0,YES,99,101,200,92.13,90.83,182.95,-3,201
1990,12-Nov,,Mon,Washington,24,29,53,28,16,0,44,97,YES,2,0,NO,Brooklyn,29,24,53,19,20,0,39,92,NO,1,1,NO,106,83,189,99.13,72.83,171.95,-3.5,207
1990,13-Nov,,Tue,Boston,16,14,30,24,37,0,61,91,NO,2,0,YES,Milwaukee,29,23,52,32,35,0,67,119,YES,0,3,YES,82,128,210,75.13,117.83,192.95,-3,215.5
1990,13-Nov,,Tue,New York,29,31,60,25,19,12,44,104,NO,1,1,NO,Oklahoma City,31,33,64,23,17,6,40,104,NO,3,2,NO,124,84,208,117.13,73.83,190.95,-6,212.5
1990,13-Nov,,Tue,Philadelphia,23,21,44,32,32,0,64,108,NO,2,0,YES,Indiana,18,28,46,26,28,0,54,100,YES,0,2,YES,90,118,208,83.13,107.83,190.95,-4,211
1990,13-Nov,,Tue,Chicago,23,23,46,18,20,0,38,84,YES,2,1,NO,Utah,20,22,42,22,18,0,40,82,YES,1,1,YES,88,78,166,81.13,67.83,148.95,-4.5,203
1990,13-Nov,,Tue,Cleveland,38,26,64,28,29,0,57,121,YES,2,0,YES,Atlanta,24,32,56,26,22,0,48,104,YES,0,2,YES,120,105,225,113.13,94.83,207.95,-4.5,218.5
1990,13-Nov,,Tue,Miami,16,27,43,23,27,0,50,93,YES,2,0,YES,Detroit,35,29,64,22,32,0,54,118,YES,2,3,YES,107,104,211,100.13,93.83,193.95,-14,206.5
1990,13-Nov,,Tue,Dallas,26,19,45,29,29,0,58,103,YES,3,0,NO,Orlando,24,32,56,27,26,0,53,109,NO,1,1,YES,101,111,212,94.13,100.83,194.95,3.5,204.5
1990,13-Nov,,Tue,Washington,29,26,55,27,23,0,50,105,NO,0,2,NO,New Orleans,37,27,64,26,30,0,56,120,YES,0,2,YES,119,106,225,112.13,95.83,207.95,-5.5,208
1990,13-Nov,,Tue,Denver,26,33,59,36,34,0,70,129,NO,2,1,YES,Portland,43,38,81,35,39,0,74,155,NO,1,1,NO,140,144,284,133.13,133.83,266.95,-19,299.5
1990,13-Nov,,Tue,Minnesota,26,30,56,18,14,0,32,88,YES,1,1,NO,Houston,23,22,45,28,17,0,45,90,NO,1,1,NO,101,77,178,94.13,66.83,160.95,-8,191.5
1990,13-Nov,,Tue,San Antonio,29,33,62,30,32,0,62,124,YES,2,1,NO,Golden State,32,28,60,36,32,0,68,128,NO,1,2,YES,122,130,252,115.13,119.83,234.95,-3.5,237
1990,13-Nov,,Tue,Phoenix,23,31,54,34,24,0,58,112,YES,2,0,NO,LAL,28,28,56,26,29,0,55,111,YES,1,1,NO,110,113,223,103.13,102.83,205.95,-3.5,221.5
1990,14-Nov,,Wed,New Orleans,32,35,67,24,35,0,59,126,YES,0,1,NO,Boston,37,32,69,35,31,0,66,135,NO,1,0,YES,136,125,261,129.13,114.83,243.95,-14,220
1990,14-Nov,,Wed,Milwaukee,18,33,51,22,22,0,44,95,YES,0,1,NO,Brooklyn,21,34,55,23,34,0,57,112,NO,1,1,NO,106,101,207,99.13,90.83,189.95,6,205
1990,14-Nov,,Wed,Atlanta,32,19,51,30,23,0,53,104,YES,0,1,YES,Philadelphia,31,20,51,32,29,0,61,112,NO,1,0,YES,102,114,216,95.13,103.83,198.95,-7,219.5
1990,14-Nov,,Wed,Indiana,18,20,38,29,28,0,57,95,YES,0,1,YES,Cleveland,23,33,56,25,32,0,57,113,NO,1,0,YES,94,114,208,87.13,103.83,190.95,-9,210.5
1990,14-Nov,,Wed,Dallas,15,33,48,26,19,0,45,93,NO,0,1,YES,Miami,23,25,48,24,33,0,57,105,YES,1,0,YES,96,102,198,89.13,91.83,180.95,0,205
1990,14-Nov,,Wed,Phoenix,26,28,54,23,25,0,48,102,NO,0,1,YES,LAC,31,25,56,31,21,0,52,108,YES,1,2,YES,110,100,210,103.13,89.83,192.95,8.5,219.5
1990,15-Nov,,Thu,New York,31,32,63,32,30,0,62,125,NO,1,1,YES,Portland,42,30,72,41,28,0,69,141,YES,1,1,NO,135,131,266,128.13,120.83,248.95,-10.5,221
1990,15-Nov,,Thu,Chicago,25,27,52,19,22,0,41,93,NO,1,1,NO,Golden State,24,32,56,22,25,0,47,103,NO,1,1,NO,108,88,196,101.13,77.83,178.95,-2,235
1990,15-Nov,,Thu,Utah,16,25,41,25,26,7,51,92,YES,1,0,NO,Orlando,20,23,43,28,21,10,49,92,NO,1,1,NO,84,100,184,77.13,89.83,166.95,7,205
1990,15-Nov,,Thu,Minnesota,27,34,61,18,29,0,47,108,NO,1,2,YES,Denver,29,30,59,26,36,0,62,121,NO,1,1,YES,120,109,229,113.13,98.83,211.95,-2.5,240.5
1990,15-Nov,,Thu,LAL,21,28,49,21,25,13,46,95,YES,1,0,NO,Houston,24,27,51,23,21,8,44,95,NO,1,1,NO,100,90,190,93.13,79.83,172.95,-3,205
1990,15-Nov,,Thu,San Antonio,30,24,54,31,37,0,68,122,NO,1,1,YES,Sacramento,27,19,46,28,19,0,47,93,YES,1,4,NO,100,115,215,93.13,104.83,197.95,7,190.5
1990,16-Nov,,Fri,Utah,24,23,47,24,18,0,42,89,NO,0,1,NO,Boston,29,18,47,36,31,0,67,114,YES,0,1,NO,94,109,203,87.13,98.83,185.95,-7.5,217.5
1990,16-Nov,,Fri,Detroit,35,27,62,23,20,0,43,105,YES,2,0,YES,Brooklyn,18,20,38,31,27,0,58,96,YES,0,1,NO,100,101,201,93.13,90.83,183.95,8.5,196
1990,16-Nov,,Fri,Washington,27,29,56,24,16,6,40,96,NO,2,0,YES,Philadelphia,22,30,52,29,15,19,44,96,YES,0,1,NO,108,84,192,101.13,73.83,174.95,-11,216
1990,16-Nov,,Fri,Milwaukee,27,26,53,25,16,0,41,94,NO,1,0,YES,Cleveland,36,25,61,18,20,0,38,99,YES,0,1,NO,114,79,193,107.13,68.83,175.95,-6.5,208
1990,16-Nov,,Fri,Miami,17,18,35,22,23,0,45,80,YES,1,0,NO,Indiana,28,27,55,29,22,0,51,106,YES,0,1,YES,90,96,186,83.13,85.83,168.95,-10.5,218.5
1990,16-Nov,,Fri,New Orleans,27,28,55,34,30,0,64,119,NO,1,0,YES,Atlanta,31,22,53,30,26,0,56,109,YES,0,1,YES,108,120,228,101.13,109.83,210.95,-9,225.5
1990,16-Nov,,Fri,LAC,18,34,52,31,18,9,49,101,YES,1,1,YES,Phoenix,31,17,48,32,21,20,53,101,YES,0,1,YES,100,102,202,93.13,91.83,184.95,-16.5,224
1990,16-Nov,,Fri,LAL,26,21,47,21,18,0,39,86,NO,0,1,YES,Dallas,16,28,44,25,30,0,55,99,NO,3,1,YES,91,94,185,84.13,83.83,167.95,3.5,201
1990,17-Nov,,Sat,Boston,32,26,58,16,28,0,44,102,YES,0,3,YES,Washington,22,27,49,25,16,0,41,90,NO,2,0,YES,107,85,192,100.13,74.83,174.95,5,211.5
1990,17-Nov,,Sat,Brooklyn,20,30,50,21,28,0,49,99,YES,0,2,NO,Milwaukee,34,23,57,25,29,0,54,111,NO,1,0,YES,107,103,210,100.13,92.83,192.95,-14.5,207.5
1990,17-Nov,,Sat,Philadelphia,22,15,37,24,18,0,42,79,YES,0,1,YES,New York,27,31,58,25,23,0,48,106,NO,2,1,YES,95,90,185,88.13,79.83,167.95,-6.5,208
1990,17-Nov,,Sat,Chicago,31,29,60,23,33,0,56,116,NO,1,0,NO,Oklahoma City,26,27,53,13,29,0,42,95,YES,0,3,NO,113,98,211,106.13,87.83,193.95,-2,206.5
1990,17-Nov,,Sat,Cleveland,23,15,38,33,29,0,62,100,YES,0,3,YES,New Orleans,29,32,61,20,31,0,51,112,YES,1,0,YES,99,113,212,92.13,102.83,194.95,0,208.5
1990,17-Nov,,Sat,Atlanta,20,20,40,29,14,0,43,83,YES,0,2,NO,Detroit,24,21,45,20,26,0,46,91,YES,2,0,YES,85,89,174,78.13,78.83,156.95,-11,211
1990,17-Nov,,Sat,Indiana,28,28,56,17,16,0,33,89,YES,0,3,YES,Orlando,27,24,51,29,16,0,45,96,YES,2,1,NO,107,78,185,100.13,67.83,167.95,3,211.5
1990,17-Nov,,Sat,Miami,14,27,41,21,38,0,59,100,NO,0,2,YES,Houston,27,19,46,37,34,0,71,117,YES,2,1,NO,87,130,217,80.13,119.83,199.95,-12.5,208.5
1990,17-Nov,,Sat,Portland,24,41,65,41,37,0,78,143,YES,1,0,YES,Denver,24,27,51,37,24,0,61,112,NO,1,1,NO,116,139,255,109.13,128.83,237.95,8,291.5
1990,17-Nov,,Sat,Sacramento,33,25,58,26,27,0,53,111,YES,1,2,NO,Golden State,28,24,52,24,36,0,60,112,YES,0,1,NO,110,113,223,103.13,102.83,205.95,-12,216
1990,17-Nov,,Sat,Phoenix,30,28,58,33,23,0,56,114,YES,0,3,YES,San Antonio,38,32,70,32,26,0,58,128,NO,3,1,YES,128,114,242,121.13,103.83,224.95,-5.5,222.5
1990,18-Nov,,Sun,Chicago,27,24,51,33,28,0,61,112,NO,0,2,NO,Portland,31,36,67,20,38,0,58,125,NO,4,0,YES,118,119,237,111.13,108.83,219.95,-7.5,218.5
1990,18-Nov,,Sun,Utah,26,25,51,28,24,0,52,103,NO,1,0,NO,Minnesota,23,14,37,27,30,0,57,94,YES,1,2,YES,88,109,197,81.13,98.83,179.95,-1,182
1990,18-Nov,,Sun,Oklahoma City,12,21,33,16,16,0,32,65,YES,0,1,YES,LAC,25,11,36,25,17,0,42,78,NO,2,1,YES,69,74,143,62.13,63.83,125.95,-2.5,203
1990,18-Nov,,Sun,Golden State,19,25,44,23,26,0,49,93,YES,0,1,YES,LAL,32,32,64,25,26,0,51,115,YES,0,1,YES,108,100,208,101.13,89.83,190.95,-9,230
1990,19-Nov,,Mon,New Orleans,28,25,53,19,29,0,48,101,YES,1,0,YES,Philadelphia,30,29,59,27,23,0,50,109,NO,1,1,YES,112,98,210,105.13,87.83,192.95,-8.5,212.5
1990,19-Nov,,Mon,Utah,27,28,55,17,32,0,49,104,NO,0,1,YES,Milwaukee,20,31,51,31,32,0,63,114,NO,1,1,NO,106,112,218,99.13,101.83,200.95,-7.5,205.5
1990,19-Nov,,Mon,LAL,30,35,65,30,27,0,57,122,YES,0,1,YES,Denver,23,29,52,25,28,0,53,105,YES,1,1,NO,117,110,227,110.13,99.83,209.95,6.5,260.5
1990,20-Nov,,Tue,Brooklyn,20,24,44,22,22,0,44,88,NO,2,0,NO,Oklahoma City,23,25,48,29,28,0,57,105,YES,2,1,YES,92,101,193,85.13,90.83,175.95,-10,203
1990,20-Nov,,Tue,Houston,28,24,52,23,40,0,63,115,YES,2,0,NO,New York,21,15,36,25,27,0,52,88,NO,3,2,NO,88,115,203,81.13,104.83,185.95,-6.5,209
1990,20-Nov,,Tue,Detroit,22,27,49,26,31,0,57,106,YES,2,0,NO,Miami,17,16,33,23,34,0,57,90,YES,0,2,YES,82,114,196,75.13,103.83,178.95,8,203
1990,20-Nov,,Tue,Atlanta,24,31,55,36,30,0,66,121,NO,2,0,NO,New Orleans,38,34,72,39,17,0,56,128,NO,2,0,YES,127,122,249,120.13,111.83,231.95,-1,218
1990,20-Nov,,Tue,Orlando,30,24,54,23,43,0,66,120,YES,2,0,NO,Golden State,34,30,64,27,32,0,59,123,YES,2,1,YES,118,125,243,111.13,114.83,225.95,-10,226
1990,20-Nov,,Tue,Sacramento,25,28,53,15,19,0,34,87,NO,2,0,NO,Washington,29,9,38,30,14,0,44,82,YES,2,2,NO,91,78,169,84.13,67.83,151.95,-6.5,193.5
1990,20-Nov,,Tue,Minnesota,27,18,45,19,20,8,39,84,YES,1,0,NO,Dallas,24,14,38,24,22,7,46,84,NO,2,3,NO,83,85,168,76.13,74.83,150.95,-8,185.5
1990,21-Nov,,Wed,Houston,27,22,49,16,30,0,46,95,NO,0,1,NO,Boston,24,34,58,26,24,0,50,108,NO,1,3,YES,107,96,203,100.13,85.83,185.95,-9,218.5
